노래명	장르명	BPM	alias-1	alias-2	memo
2002	RAVE	132			
10000 MILES AWAY	DRUMSTEP	178			
199024club -Re:BounceKiller-	TECH BREAKBEATS	143			
A Certified Rave Moment	MULTIGENRE	165			
A MINSTREL ～ver. short-scape～	LA FABELO	114			CHORD 조심
A Tale Hidden In The Abyss	COMMENT OUT	216			
AA	RENAISSANCE	154	더블에이스		
AA -rebuild-	RENAISSANCE	154			
Abraxas	DUBSTEP	165			
ABSOLUTE (kors k Remix)	IIDX ANTHEM REVIVAL	160			
ABSOLUTE EVIL	EUPHORIC FRENCHCORE	200	앱솔에빌		
abstract	BIG BEAT	125			
Abyss	INTELLIGENCE	142			
Abyss -The Heavens Remix-	TRANCE CORE	171			
ACCELERATE	SYNTH-TECH	153			
Acid Pumper	HARD DANCE	150	녹색어머니회		
ACID VISION	LIQUID FUNK DRUM & BASS	182			
Acidiva 303	HARD DANCE	150			
ACT	RAVE	180			
ACTØ	NEOTRANCE CORE	185			
ADAMANT	HARDCORE	200			
Adularia	ARTCORE	180	아두랄리아		롱잡 잘 하면 깰만하고, 롱잡 연습하기 좋다
ADVANCE	ELECTRONICA	100			
Advent Infamous	NEO DIGITAL FUTURE	150			
Aegis	TECHNO	162			
Aerial Skydive	DRUM & BASS	175			
Aeterna	UNSUNG FANTASIA	180			
ÆTHER	ASTRAL HARDCORE	190	AETHER	에테르	
Affection	HARD DANCE	150			
AFRO KNUCKLE	AFRO-SAMBA	145			
Afterimage d'automne	ASYMMETRY ART	232			
Aftermath	ROCK	200			
AGAiN	HARDCORE	174			
AGEHA	HAPPY HARDCORE	180			
AGETEKE ONDO	JAPANESE OMATSURI ROCK	164			
Air Bell	FLOW POP	171			
AIR RAID FROM THA UNDAGROUND	SPEEDCORE	180	에레기		후살 특히 조심
AKASHIC BREAK	LAPLACE CORE	205			
ALBA -黎明-	HYPER GOTHIC BEAT	165	알바-여명-	아바즈레	
ALBIDA	HARD RENAISSANCE	185	알비다		
ALFARSHEAR 双神威に廻る夢	HYPER J-POP SEVEN	170	알파르셰어		
ALIEN TEMPLE	PSYCHEDELIC TRANCE	145			
ALIEN WORLD	PSYCHEDELIC TRANCE	145			
ALL I NEED YOUR LOVE	HARD CORE	145			
All is Wrecked	INDUSTRIAL METAL	170			
ALL MY TURN -このターンに、オレの全てを賭ける-	ONLY ONE EURO BEAT	170	올마이턴		
ALL OK!!	HYPER POP / BREAKCORE	183			
ALL RIGHT	DRUM'N'BASS	180			
alla turca con passione	NATURAL SOUND	140			
Almace	TECHNO	172			
Almagest	AKASHIC RECORDS	178	알마게		롱잡구간 직전에 나오는 중살이 진짜 어렵다
Alpheratz	PIANO TRANCE	154			
ALTERNATOR	IRREGULAR OMNIBUS HARDCORE	185	얼터네이터		
Always We Trust In You	EMOTIONAL HAPPY EUPHORIA	190			
Amabie	ORIENTAL FUTURE BASS	168			
Amazing Mirage	HiTECH FULLON	153			
Ambivalent Vermilia	HARD RENAISSANCE	185	2대주작		
Ambush Ace	ELECTRO FUSION	158			
Amethyst	TRANCE	155			
AMICABLE	FUTURE POP	158			
Amor De Verão	熱帯 THE BASS	138			
Amor∞Fati	PIANO DANCE APPASSIONATO	170			
