노래명	장르명	BPM	alias-1	alias-2	memo
Static State	ELECTRO TRANCE	138			
Stay my side	R&B	100			
Steel Edge	DRUM&BASS	177			
STEEL NEEDLE	BREAK CORE	205			
STELLAR WIND	HARD DANCE	162	스텔라 윈드		
Stepper	DANCE MUSIC	128			
Stereo Beasts	HARD TECHNO/DOWNTEMPO	160			
STILL IN MY HEART	HYPER EUROBEAT	150			
still my words	AMBIENT	136			
Stleq	ARTCORE	200			
stoic	TECHNO	155			
STOIC HYPOTHESIS	RIDDIM CORE	170			
STRAIGHT TO THE STARS	COLOUR BASS BREAKS	158			
StrayedCatz	FANTASY	303	스트캣		
Stylus	STYLISH ELECTRO	165			
Submerge Serenade	HARDTECHNO	157			bga 오..
subtractive	GLITCH STEP	180			
Sugar Drippin'	GARAGE	135			
Sugarplum	MOE CORE	170			
Summer	DANCE MUSIC	150			
Summer Vacation (CU mix)	TRIP HOP	135			
Summerblue	GAME MUSIC	145			
Summerlights (IIDX Edition)	HARDCORE RAVE	175			
Sun Field	HAPPY POP	152			
SUNLiGHT (IIDX Mix)	TRANCE SPEED	170			
Sunny Day Vibes	FUTURE CORE	185			
Super Duper Racers	HARDCORE	170			
Super Freak	HARDCORE	200			
SUPER HEROINE!!	GENSOU FULLON	186			
Super Rush	HARDTEK	190			
Survival Games	90's ELECTRIC POP	152			
SURVIVOR	GRAVITY POP	150			
suspicions	JAZZ CORE	153			
Swarm Of Scarabs	HOLIC	110			
Sweet Clapper	J-POP	162			
SWEET LAB	LOUNGE HOUSE	120			
Sweet Radar	ELECTRO POP	150			
Sweet Sweet ♡ Magic	HAPPY HARDCORE	180			
SWEETEST SAVAGE	HIP HOP	114			
Swing My Wonderland	ULTRA JAZZFUNKTION	170			
SWITCH	TECHNO	135			
SWITCH	TECHNO	135			
Sword of Vengeance	HI-SPEED TECHCORE	208			
symbolic	TECHNO	155			
Symmetry	EPIC ELECTRONICA	163	대칭		
symptom	DRUM'N'BASS	170			
sync	TRANCE	167	싱크		
Synergy For Angels	ORBITALIC REVOLUTION	160			
SµG@R RU$#	H4P9Y H@RI>CORE	180	슈가러시		패턴 유튜브로 숙지 추천
T-REX vs Velociraptor (In the Far east euphoria)	RAVECORE	200	티렉스		R-RANDOM추천
TA・DA☆YO・SHI	EUROBEAT	160	타다요시		
tablets	RAVE	180			
Tail Lights	TRANCE	156			
Take It Easy	INSTRUMENTAL	205			
Take Me Higher	SYNTHETIC ELECTRO	144			
Take Me Higher	SYNTHETIC ELECTRO	140			
Take My Life	EUROBEAT	175			
TAKE ON ME	DANCE EXPRESS Hi-speed	169			
Tangerine Stream	AMBIENT	84			
tant pis pour toi	TECHNO	138			
Technicolour Dreams	HDM	170			
TECHNO RUMBLE	SPED UP SCHRANZ	170			
TECHNO Style Essentials	TECHNO	154			
TECHNOPHOBIA	TECH/ELECTRO	152			유튜브로 패턴 숙지 추천
Tell me what you wish feat.らっぷびと	ROCK	203	텔미왓유위시		
Temple of Anubis	PSYSTYLE	155			
TEXTURE	DEATH DISCO	130			
That Feeling	SPEED HOUSE	150			
THE ANCIENT KING IS BACK	HARDSTYLE	160			
The Best of Both Worlds	EUROTRAPBEAT	160			
The Biggest Roaster	FILTER HOUSE	135			
THE BLACK KNIGHT	GOA TRANCE	154			
THE BRAVE MUST DIE	HARDCORE	215			
THE CANNONBALLER	EUROBEAT	170			
The Chase	TECH BREAKS	142			
The Clown of 24stairs	DISSOCIATIVE IDENTITY DISORDER	204	24계단		
The Commanders	HARDSTYLE	150			
THE CUBE	DRUM'N'BASS	178			
THE DAY OF JUBILATIONS	HARD ELECTRIC POP	181			
THE DEEP STRIKER	NU STYLE GABBA	173			
THE DETONATOR	NU STYLE GABBA	173			
The Dirty of Loudness	SADISTIC HARDCORE	165			S+1234567 절대 손바닥으로 치지말것
THE DOOR INTO RAINBOW	TRANCE	155			
THE EARTH LIGHT	TRANCE	145			
The end of my spiritually	ELECTRONICA	110			
THE F∀UST	PIERROT CORE	170	더 파우스트		
THE FALLEN	GOTH NU-STYLE GABBA	167			
The Hope of Tomorrow	CYBORG TRANCE	144			
The Last Apocalypse	NEO-CLASSICAL CORE	190			
THE LAST STRIKER	DRUM & BASS	185			
The Limbo	CYBER PUNK	200	자림보		PEAK 조심
The Onlyonez	FRENCHCORE	220			
THE PEERLESS UNDER HEAVEN	HARD MIXTURE	170	텐카이핀		유튜브로 패턴 숙지 추천
The Rebellion of Sequencer	DJENTCORE	300			
The Revolution (VIP Mix)	HDM	175			
The Sampling Paradise	HARD TRANCE	150	대퇴부참치		
The setting sun (burst)	COMPLEXTRO	140			
the shadow	SCHRANZ	156			
THE SHINING POLARIS	EPIC TRANCE	147			
THE SHINING POLARIS(kors k mix)	UK HARD CORE	172			
The Sky of Sadness	WORLD/CONTEMPORARY	138			
The Smile of You	POP	136			
The Story Begins	EPIC TRANCE	150			
THE TIME MACHINE	HARDWAVE/STYLE	155			
the trigger of innocence	ETHNOTRONICA	150			
The Wind of China Express (The 4th Mashup)	THE 4TH	172			
Think of me	NORTHERN EUROPE	100			
This Is Club Musik feat. 大久保紅葉	HARD HOUSE	165	클럽뮤직		
This is Love	CORE POP	175			
Thor's Hammer	TRANSCENDENTAL ETUDES	150	토르빠따		
thunder	HOUSE	135			
thunder HOUSE NATION Remix	HOUSE	135			
Thunderbolt	RAVERS DANCE SPEED	188			
TIEFSEE	DEEP SPECTRUM	165	티에프시		사볼과 음원이 다르다
Tiempo Loco	Hi-TECH / PSY CORE	180	템포로코		후살 말도 안 되는노래 유튜브로 패턴 숙지 필수
tiger yamato	NOISE POP	150			
Time Distortion pt.2 (IIDX Edit)	PSYCHEDELIC TECHNO	150			
Time is money	JAZZ	110			
Time to Air	DANCE SPEED	191			레겐더리아 CHORD 조심
Time To Empress	TRANCE	148			
Timepiece phase II	PROGRESSIVE ROCK	287	탐피		
Timepiece phase II (CN Ver.)	PROGRESSIVE ROCK	287			CHARGE 조심
TITANIUM RIDERS	HARDCORE RAVE	172			
TITANS RETURN	DRUMSTEP	194			
Tizona d'El Cid	MPB	265			
To my star	STARPOP	153			
To the Future	CLUB'80s	122			
To The Paradise	EDM	140			
Todestrieb	SACRED TRANCE	185	토데스트렙	르셰	
TOGAKUSHI	HARD TRANCE	152			유튜브로 패턴 숙지 추천
TOKAKU=ALMiRAJ	ORIENTAL MIRAGE	170			
TOMAHAWK	SUPER HARDCORE NOVA	215			
TOMORROW	IIDX EDITION	134			
Tomorrow Perfume	TRANCE	144			
Tonight?	ELECTROCK	135			
Too Late Snow	J-DANCE POP	138			
Tori-no-kimochi	WORLD/ELECTRONICA	135			
TOXIC VIBRATION	MELODIC SPEED METAL	197	톡식		
toy boxer	BOXINGCORE	190			
ToyCube Pf.(RX-Ver.S.P.L.)	NEW AGE	120			
Tp-RZ	BREAKBEATS	160			
traces	TRANCE	152			
Transport	TECH-TRANCE	147			
TRIBAL MASTER	ROCKET BEATS	130			
tricky trick	DUBSTEP	165			
Trill auf G	MUSIC GAMES HARDCORE	188	트릴아프지		트릴아프다
TRIP THE DEEP	MELODIC TECHNO	135			
Triple Counter	RISK + VACUUM	216	트카		
Triple Cross	MUSIC GAME TRADITIONAL	196	트크		
tripping contact	FREEFORM	182			삭제곡
Tripping Jumping	FUNKY BREAKS	156			
TRIUMPH	UK HARDCORE	183	트라이엄프		
TROOPERS	ULTIMATE CORE	177			
Tropical April	VACATION DANCE	182			
True Blue	ESSENTIALLY	164	트루블루		
Trust -MATERIAL ver- (IIDX Edition)	CHARACTER SONG	164			
TSAR BOMBA	DRUMSTEP	190	짜르봄바		
Turii ~Panta rhei~	ELEMENTAL CHANT	148			
Turning the motor over	LATIN SKA	178			
Twelfth Style	HAPPY EURO PARADISE	160			PEAK 조심
Twilight Warp	CYBER DANCE MUSIC	145			
Two DAYS OF LOVE	EUROBEAT	150			
TYPE MARS(G-Style Mix)	PSYCHEDELIC TRANCE	159			
u gotta beat	TECHCORE	180			
U.S.A.	IIDX EDITION	177			
Uaigh Gealaí	NEURO FUNK / CEILTEACH DORCHA	183			
Übertreffen	PROGRESSIVE BAROQUE	174	Ubertreffen	프로바로	
Ubiquitous Fantastic Ride	ELECTRO LOUNGE	172			
uən	RINASCITA	200	리나시타	RINASCITA	
Uh-Oh	CANDY RAVE	175			
ULTiM∧TE	HYPER J-POP FIVE	180			
ULTRA HIGH-HEELS	PARAPARA	159			
Umbral	UPLIFTING TRANCE	138			
UMMU	OSHARave	180			
Unbelief	METAL	135			
Under Construction	BIG BEAT	125			
Under the Sky	J-EUROTRANCE	170			
UNDERWORLD HOLOGRAPHY	DRUM & BASS	187			
UNDO THE NIGHT	EUROBEAT	162			
Unicorn tail	BREAKBEATS TRANCE	170			
UNITE THE HEART	DANCE POP DUET	185			
Urban Constellations	JAZZY FOOTWORK JUNGLE	167			
V	PROGRESSIVE	150	브이		https://youtu.be/pXxAAioHkPA?si=wC6EFYm_q-X0RkrM V max
V2	PROGRESSIVE	150			
V35	TRANCE	148			
Valanga	ART CORE	186			
Valgus	MAINSTREAM HARDCORE	175			
VALKYRIAS -英雄誕生-	HEROIC VALHALLA ROCK	184	영웅출현		
VALLIS-NERIA	TRANCE CORE	185	발리스		
VANESSA	DECEPTIVE GABBA	185			NOTES 조심
vault of heaven	ELECTROSHOCK	160			
Vector	TECH CORE	175			
VEGA	UNIVERSAL J-CORE	191			
Venom	JUMP UP/HARDCORE	190			
Ventriloquist	JAZZY STEP	170			
Verflucht	HARD NRG	180	벨플		NOTES 조심
Vermilion	HARD HOUSE	143			
Vermilion Carol	GOTHIC PIANO TRANCE	175			
Vermillion	PSYCHE FUSION	152			
Vibing! Shake it!	SOCA/HARD DANCE	160			
VIBRΛ	EMO STEP	176			
Victory Of Ravers	HARDCORE RAVE	178			
Vienna	PIANO AMBIENT	115			
Vinculum stellarum	ANTHEM TRANCE	160	빈클룸		
Violet Pulse	GLITCH ELECTRO	134			
Violet Rose	LATIN JAZZ TRIO	152			
Viridian	NU-NRG	161			
Virtual Insanity	R&B MIX	100			
VIRTUAL MIND	HIPHOP HIP HOP	128			
Virus Funk	PROGRESSIVE DISCO	132			
Visterhv	REBIRTH OUT	191	비스터브		
Vitamin	SPEED HOUSE	160			
Vitrum	PROGRESSIVE METAL	146			
VIVID DEBUT!	FUTURE CORE	201			
voice of echo.	HYPERTRANCE	175			
VOLAQUAS	EMPYREAL HYDRO ARTCORE	212	볼콰스		
VOLCANIC BIGBEAT	TECH-BIGBEAT	148			
Volcanic Dragon	HARDCORE RAVE	175			
voltississimo	VVV	225	볼티		
Voo Doo Bamboleo	TRIBAL DANCE	137			
Votania Beat	BEAT MUSIC	185			
VOX RUSH	ROTTERDAM RAVE	202			삭제곡
VOX UP	ROTTERDAM TECHNO	202			
Voxane	TECH DANCE	140			
Vulkan	GYPSYCORE	205			
Vulnerability	VARIABLE CORE	167			
WAKE UP NOW	TROPICAL ELECTRO HOUSE	150			
wanna be a "BAD GIRL" feat. Nana Takahashi	FUNK POP	142			
Wanna Party?	PIANO HOUSE	128			
WANNA TELL THAT WORD	US HARD HOUSE	132			
WAR GAME	HIP HOP	93			
Warrior	MAINSTREAM HARDCORE	175			
Watch Out Pt.2	TECH-BREAKBEATS	148	와챠2		SCRATCH 조심
Watch out!!	HIP HOP	121	와챠		
WaterCube Pf.(RX-Ver.S.P.L.)	ETHNO POP	120			
Watermelon Explosion	EXPLO POP	180			
waxing and wanding	DANCE SPEED	191	왁싱		CHORD 조심
We are Disっ娘よっつ打ち命	DISCO	130	디스코요츠우치		
WE LOVE SHONAN	SURF&DUB	165			
We're so Happy (P*Light Remix) IIDX ver.	HAPPY HARDCORE	185	위아소해피		
Welcome	HARDCORE	170			유튜브로 패턴 숙지 추천
Welcome to the Mosh Pit	RIDDIM TECHCORE	172			
WHA	CROSSO-WHA-R	108	와	샌즈	유튜브로 패턴 숙지 추천
Wheel of Journey	ETHNIC	193			
When I Met U	HYBRID BASSLINE	145			
Why did you go away	LOVERS EUROBEAT	160			
WILD FIRE	EURO BEAT	172			
Wing of Hearts	HYPER HANDS UP	187			
winkle 2 winkle	EURODANCE SPEED	171			
Winner's Proof ft. KANASA from bless4	THEME SONG	100			
WISE UP!	RESORT HOUSE	127			
wish	CUTE POP'S	115			
WISH(EUROBEAT MIX)	EUROBEAT	180			
with me...	ELECTRO	144			
With You	DANCE	150			
with you…	FUNK'N JAZZ HOUSE	135			
With your Smile	J-HOUSE	135			
Without Heaven	VARIABLE ORIENTAL CORE	162			
WOBBLE IMPACT	DUBSTEP	190			
Wolf 1061	PIANO TRANCE	173			
Won(*3*)Chu KissMe!	IIDX EDITION	160			
Wonder Bullfighter	NATURAL SOUND	126			
Wonder Girl feat. Kanae Asaba	EUROBEAT	160			
WONDER WALKER	HARD TRANCE	165	원더워커		
Wonderful Escape	NU DRUM & BASS	165			
Wonderland	CANDY RAVE GABBER	180			
World Wide Love	POPS	122			
Wow Wow 70's	DISCO	126			
Wuv U	CANDY RAVE	173			
X	RENAISSANCE	180			
X-rated	RETRO RAVE	140			
X-ray binary	TRANCE	150			
Ｘ↑Ｘ↓	新世紀進歩的羽扇子音楽	172	천상천하		
XANADU OF TWO	DANCE POP	160			
Xb10r	VOLTENIZED CORE	200	텐블러		
xenon	ELECTROSHOCK	158			
XENON II ~TOMOYUKIの野望~	ELECTRO SHOCK	160	제논투		
Xepher	MEDIEVAL CHOIR	170			
Xerulean	HAPPY HARDCORE	182			
XHRONOXAPSULΞ	CHRONO-SYMPHONIC SPEEDCORE	277	크로노캡슐		PEAK 조심
XINOBIKILL	CYBER JAZZSTEP	164			
Xlø	NEUTRONIKA	165	Xlo	쿠로	SCRATCH 조심
Xperanza	HYBRID HARDCORE	200			
Xyndrome	FRENCHCORE	195			
Y31	RAVE	168			
Yabis Starlight	DIGITAL ROCK	168			
YAKSHA	TERROR CORE	190			
yamabiko (SINOBUZ Edition)	夏の夕暮れと、DUBSTEP。	154			
YELLOW FROG from Steel Chronicle	DESERT ALTERNATIVE EDGE	110			
yellow head joe	TEK-TRANCE	187			
Yellow Sketch(RX-Ver.S.P.L.)	ALTERNATIVE ELECTRO	176			
Yellow Sunrise	DRUM'N'BASS	174			
YESTERDAY	SUPER EUROBEAT	158			
You Were The One	ITALO HOUSE	125			
You'll say "Now!"	ONLY ONE TECHNO	155			
Your Body	HOUSE	125			
Ypsilon	HARD STACC	160			
Yum Yum Jelly	FUTURE BASS	180			
ZED	DUB STEP	190			
ZENDEGI DANCE	ORBITALIC ORIENTAL ELECTRO	160			
Zenith	PLUS ONE	164	제니스(소문자)		
Zenius -I- vanisher	CYBER OPUS	160			
ZEPHYRANTHES	BLOOM CORE	180	제피르		
ZERO-ONE	ELECTROSHOCK	160			
ZEROIN ON THE LIGHT	COLD BEAT	162			
ZEИITH	ARCADE CORE	190	제니스(대문자)		
Zirkfied	SPACE REQUIEM	210			PEAK 조심
ZZ	INTELLIGENCE	154	제츠		
ΕΛΠΙΣ	ROMANTIC SCHOOL VARIATIONS	175	엘피즈	ELPIS	
ιgniЯRuina	PSALMS OF ASHES	183	ignirruina	루이나	
Τέλος	幻想音樂	202	Telos	텔로스	
Χ-DEN	ULTI∑ATE COLLABORATION	200	X-DEN	카이덴	
ЁVOLUTIΦN	PLATINUM JAPANESQUE	165			
あいつら全員同窓会	J-POP	131	동창회		
アクマフカ	ROCK	135	아쿠마후카	악마부화	
アストライアの双皿	ZODIAC ORACLE 7	173	천칭	쌍접시	
アタシ完全絶対正義ちゃん！	ROCK	201	절대정의		
アタック NO.3	DRAGON' BASS	170	어택3		
アラビアン ハイパー ナイト	ARABIC TRAP CORE	182	아라비안하이퍼나이트		
アルストロメリア	BLOOM FUSION	144	알스트로메리아		
あるビー! feat.ころねぽち	ピコピコ電波ソング	236	아루비		
イグジスター	NIGHT J-POP	176	이그지스터		
イザナミノナゲキ	WORLD/ELECTRONICA	195	이자나미의통곡		
いつかオトナになれるといいね。	J-POP	176	모모쿠신쟈	언젠가 어른이 될 수 있다면 좋겠네	
うさ☆かめ 大戦争！	プログレッシブ徒競走	210	토끼거북이대전쟁		
ウツシミウツシ	ALTERNATIVE DANCE CORE	175	우츠시미우츠시		
エクスプロウル	VOCALOID	164	익스플로어		
エコ爺	80's EURO	125	에고사		
えだまめカレークッキング	ZUNTSUMU TEETEE	150	에다마메카레쿠킹		
エディブルフラワーの独白	HARD FRENCH	180	에디블플라워의독백		
おーまい！らぶりー！すうぃーてぃ！だーりん！	LOVELY YOUTH	170	오마이러블리스위티달링		
オールトの雲	GALAXY QUEST	215	오르트구름		
おおきなこえで	WORLD/POPS	100	큰목소리로	오오키나코에데	
オッド♡ラヴィ	LOVELY TECHCORE	172	옷도라비		
オドループ	J-POP	172	오도루프		삼색볼펜
オブソミート	ボカロ	158	오부소밋		
オルタネイトβ	HYPER J-POP	162	오루토네이토		
オレはビートマニア！お前は何マニア？	FUNK	123	오레와비토매니아!		
お命ちょうDAI! 901娘	演歌ブレイクス	160	901소녀		
お米の美味しい炊き方、そしてお米を食べることによるその効果。	お米タル	190	오코메탈	밥을 맛있게 짓는법	
お菓子の王国	SPEED CANDY	190	과자왕국		PEAK 조심
お願いアインシュタイン	CYBER SYMPHONIC POP	143	오네가이아인슈타인		
か・し・ま・し☆PUMP UP !	SUMMER WORKOUT	175	카시마시		
ガヴリールドロップキック	IIDX EDITION	168	가브릴드롭킥		
かげぬい ~Ver.BENIBOTAN~	NATSU MATSURI	186	카게메이		
カゴノトリ ～弐式～	和式電子音楽	140	카고노토리	kagonotori	
カジノファイヤーことみちゃん	電波	230	카지놔이아		
かずあそび	INSANIO	170	카즈아소비	숫자놀이	
がっつり陰キャ!?怪盗いいんちょの億劫^^;	Hi-メランコリックコア	185	괴도프림2		체력조심
カミロ・ウナ・メンデス	SPANISH COOL	119	카밀로우나멘데스		
カラルの月	NOMADIC NATION	135	카랄의달		
キスキツネ	J-POP	148	키스키츠네		
きみのせかい	8-BIT MIXTURE	184	너의세계		
ギャ・ギャ・ギャ・ギャラクシー！	VOCALOID	140	갸갸갸갤럭시		
キャトられ❤恋はモ～モク	Hi-ν BLEEP	196	캬토라레		
キヤロラ衛星の軌跡	COSMIC PROG ROCK	150	캬롤라위성		
きゅうくらりん	VOCALOID	220	큐큐라링		
きゅんです。	ROCK	162	큥데스		
ギョギョっと人魚♨爆婚ブライダル	Hi-RESORT電波	169	인어브라이덜		
ぐだふわエブリデー	IIDX EDITION	220	구다후와에브리데이		
グッバイ宣言	IIDX EDITION	170	굿바이선언		
グラナダの風	SPANISH GUITAR	130	그라나다의바람		
クルクル☆ラブ 〜Opioid Peptide MIX〜	FUTURE POP	185	쿠루쿠루러브		
クレッシェンド	CLASSICAL	180	크레셴도		
ここからよろしく大作戦143	ROCK	184	요로시쿠대작전		
コスモス	J-POP	148	코스모스		
こっちを向いてよ	SOUL	128	이쪽을봐줘		
サクラあっぱれーしょん	IIDX EDITION	140	사쿠라어퍼레이션		
サヨナラ・ヘヴン	WORLD/ELECTRONICA	111	사요나라헤븐		
サヨナラ・ヘヴン-Celtic Chip Dance Mix-	BEMANI 8BIT COLLECTION	111	사요나라헤븐칩		
シティ・エンジェル	TRANCE	145	시티엔젤		
シムルグの目醒め	NATURE	190	시무루그의 각성		
〆	HiTECH	160	시메		
シュッパツシンコウ・シサカンコ	KANA-POP	182	출발진행		
シュレーディンガーの猫	TOY CONTEMPORARY	187	토컨		
シル・ヴ・プレジデント	J-POP	176	실부프레		
シンデレラ	DRUM & BASS	178	신데렐라		
スーパー戦湯ババンバーン	オンセン♨ヒーロー	187	전탕바반반		
スキッテイエェエエェ!!!!	Hi-ラブコメPOP	200	스킷테이에		NOTES 조심
スパークリング☆彡ハイパーチューン！！	EUROBEAT	177	스파클링하이퍼튠		
セカンドピアス	GIRLS ROCK	138	세컨드피어스		
セピアの軌跡 ft. 天宮みや(少女フラクタル)	MS J TRANCE POP	158	세피아의궤적		
セロトニン	ORBITALICTRO	150	세로토닌		
センチメンタル・サマー	CITY DANCE POP	136	센티멘탈서머		
ぞうしょく！？マイデンティティ	バーチャルマルチコア	200	증식마이덴티티		
それが、ボクの使命～レスキュー隊長 メンキュー～	EMERGENCY CORE	180	보쿠노시메이		
それは花火のような恋	Hi-歌謡コア	182	그것은 불꽃같은 사랑		
たからもの	POPS	182	보물		
タシカナモノ	POPROCK	180	확실한것		
たまゆら	PROGRESSIVE	180	타마유라		
タンポポ	ROCK	206	민들레		
チェイスチェイスジョーカーズのうた (オニスタイルリミックス)	ウラシュダイカ	185	체이스조커즈		
ちゅ、多様性。	J-POP	150	츄다양성		
ちょえちょえまぎか	ROCK	180	초에초에마기카		
ちらちら・はらはら	ACEDIA	180	치라치라하라하라		
ディッシュウォッシャー◎彡おいわちゃん	ネオスカ電波	210	식기세척기		
デッドボヲルdeホームラン	ELECTRIC MANOUSH SWING	145	데드볼홈런		
デビルじゃないもん	IIDX EDITION	154	데빌아니야		
デラむぅのでらっくす☆どり～む	だんすむぅ～じっく	140	데라무드림		
ドゥサンコオデッセイ!!	CHIPTUNE FUSION	160	두샹코		
ドッキン☆サマーあばんちゅーる	ドタバタ☆夏休み	180	도킹서머		
トリカゴノ鳳凰	歌謡 DRUM & BASS	185	새장속 봉황		
ドリムチウ	HARDCORE TECHNO	170	도리무추		
とろぴかる倶楽部	TROPICAL	120	트로피컬클럽		
どんなときも。	J-REVIVAL	160	언제라도		
ナイトシティー·アヴァンチュール	歌謡ニューウェーブ	170	나이트시티		
ナイトフィクション	ALTERNATIVE	163	나이트픽션		
ないないルーティン	SPEED HOUSE	148	나이나이루틴		
バ→ビ→ブ→Bomb!	電波ソング	175	빠삐뿌밤		
パ→ピ→プ→Yeah!	電波ソング	160	빠삐뿌예		
ハードベース・フェスタ	A-STYLE RUSSIAN HARDBASS	158	하드베이스페스타		
パーフェクトイーター	ROCK	175	퍼펙트이터		
ハイ*ビスカス ft. Kanae Asaba	YANKEE CAR J TRANCE	157	하이비스커스		
ハイテックトキオ	ハイテックトキオ	165	하이테크 토키오		
バスルーム ロマンス	CLASSIC MOTIF	155	배스룸로맨스		
バッド・スイーツ、バッド・ドリーム	.+:☆ BAD FUTURE ☆:+.	220	배드스위츠		
バッドエンド・シンドローム	PIANO CHRONICLE	126	배드엔드신드롬		
バビロニア	DISTORTED NEW AGE	164	바빌로니아		
バブリン	J-POP	198	버블린		
パラドキシカル・タイムリープトライアル (Short Ver.)	AKIBA-POP	188	타임리프		
ハリツヤランデヴー	HOU-ROCK	143	하리츠야랑데부		
ハルイロメロディー	AOHARU MELODY	166	봄빛멜로디		
バンブーソード・ガール	J-SPEEDMETAL	208	밤부 소드 걸		
ピアノ協奏曲第１番 "蠍火" (BlackY Remix)	PDM	160	헐화 블래키 믹스		
ビビッド ☆＋＊。キラキライム	ハピコア	191	비비드키라키라임		
ビビデバ	J-POP	120	비비디바		
ヒマワリ	J-HAPPY HARDCORE	185	해바라기		
ビューティフルレシート	HAPPY HARDCORE	196	영수증		
ファイナルレター	MELODIOUS WATER PIANO	205	파이널레터		
フェイクアウト	ROCK	215	페이크아웃		
フェティッシュペイパー～脇の汗回転ガール～	モッシュ	110	페티시페이퍼		
フォニイ	IIDX EDITION	170	포니		
ぷろぐれっしぶ時空少女！うらしまたろ子ちゃん！	ぷろぐれっしぶ電波	175	우라시마타로코		
ベィスドロップ・フリークス	A-STYLE DRUM STEP	179	베이스드롭프릭스		
ベラ・ベ・カラベラ	TERRORCORE/RAP	150	베라베카라베라		
ベンガル vs. アムール Battle	BOLLYWOOD CORE	165	벵갈아무르		
ポチコの幸せな日常	わんわんコア	192	포치코		
ポラリスノウタ	FUTUREBASS	170	폴라리스노래		
マーシャル・マキシマイザー	IIDX EDITION	190	마셜맥시마이저		
マインド・ゲーム	青春剛速球メタル	180	마인드게임		
マチ子の唄	EDUCATION	152	마치코의노래		
マツケンサンバII	IIDX EDITION	127	마츠켄삼바		
まほろば	J-DANCE POP	149	마호로바		
ミストレス・アンには花束を	ELECTRONICA	135	미스트레스앤		
ミッドナイト☆WAR	BEMANIZED ROCKCORE	156	미드나이트워		
ミッドナイト堕天使	TRENDY TECHNO	150	미드나이트 타천사		
ミュージック・アワー	IIDX EDITION	165	뮤직아워		CHORD 조심
ミラージュ・レジデンス	FUSION	144	미라주레지던스		CHARGE 조심
めいさいアイドル☆あいむちゃん♪	電波デステクノ	160	미체 아이돌 아이무짱		
メイメツ、フラグメンツ	CYBER SYMPHONIC POP	157	명멸프래그먼트		
めうめうぺったんたん！！ (ZAQUVA Remix)	HYPERACTIVE HELLCORE	185	메우메우펫탄탄		
めでてえ	ハッピースピードコア	240	메데테에		
もっと！モット！ときめき feat. 松下	きらめきコア	185	더두근두근		
ユミル	SYMPHONIC-TEK	164	유미르		
ヨシダさん	TECHNO	150	요시다씨		
ラキラキ	LUCKY TECHNO	165	라키라키		
ラストセンチュリーメランコリック	FUTURE J-POP	170	라스트센추리		
ラブキラ☆スプラッシュ	HYPER POP	152	러브키라스플래시		
ラブコメトキドキシリアス	Hi-ROM COM	224	러브코메		
ランカーキラーガール	KILLER PUNK	200	RANKER KILLER GIRL		
リグレット	EURO TRANCE	155	리그렛		
リメンバーリメンバー	RAINY WALTZ	182	리멤버 리멤버		
リリーゼと炎龍レーヴァテイン	OLDSTYLE GAMEMUSIC	200	리리제		
レインボウ・フレーバー	ELECTRO SHERBET	140	레인보우플레이버		
レシピのリドル	ガールズティーパーティー	245	레시피리들		
れとりば！	KAWAII DOGGO POPS	180	리트리버		
ロマンシングエスケープ	SYNTHWAVE POP	132	로맨싱이스케이프		
ロミとロボの宇宙飛行	ARTCORE	172	로미로보		
下弦の月	NEO CLASSICAL DANCE	166	하현의 달	하현달	
不死身ごっこ	ボカロ	147	불사신놀이		
不沈艦CANDY	HARDCORE	188	불침함		
世界の果てに約束の凱歌を -ReUnion-	BRAVE ANTHEM	200	약속의 개가		
中華急行	HAPPY HARDCORE	171	중화급행		
九尾狐夜行	ORIENTAL FUSION	145	구미호야행		
乱膳の舞姫	BALKANIC ROCK	171	난젠무희		
今宵、ロマンス横丁。	和風歌謡硬核音楽	168	로맨스요코초		
令和 (1991RAVE REMIX)	RAVE	148	레이와		
仮想空間の旅人たち	TECHNO	151	가상공간		
伐折羅-vajra-	KUDOS CORE	173	바즈라		
俺ら東京さ行ぐだ	IIDX EDITION	140	도쿄에갈리라		
傷つけど、愛してる。	J-POP	180	상처입어도사랑해		
儚き恋の華	BLOOM ROCK	162	덧없는 사랑의 꽃		
儚キ戀ノ幻想譚	和風歌謡硬核音楽	175	덧없는 사랑의 환상담		
光風霽月	ORIENTAL Hi-TECH FULL ON	160	광풍제월		
全力 SPECIAL VACATION!! ～限りある休日～	HAPPY VACAY CORE	170	전력바캉스		
共犯ヘヴンズコード	ELEGANT SWING	219	공범헤븐즈코드		
共鳴遊戯の華	ASTRAL DRUM & BASS	190	공명유희		
最強頂戴girl♡	TWINKLE POP	206	최강줘걸		
冬椿 ft.Kanae Asaba	HYPER ENKA POP	155	겨울동백		
凛として咲く花の如く	撫子ロック	163	나데시코락		
刃図羅	LAST ARTS	165	바즈라		
創世ノート	CREATOR	200	창세노트		
十六夜セツナ	HYPER J-POP	160	16야세츠나		
千年ノ理	WORLD/ELECTRONICA	153	천년의리		CHORD 조심
即席！脳直★ミュージックシステム	AKIBA-POP	197	즉석뇌직		
取り残された美術 (Arranged:HiZuMi)	HYPER J-POP	160	남겨진미술		
口カラ凸ゲキ	HUMAN BEATBOX ELECTRO	150	입돌격		
叶うまでは	ELECTRIC AOR	140	카나우마데		
合体せよ！ストロングイェーガー!!	NU-NRG	155	스트롱예거		
