노래명	장르명	BPM	alias-1	alias-2	memo
CaptivAte～浄化～	NOSTALISH REQUIEM	160			
CaptivAte 〜裁き〜	NOSTALISH REQUIEM	180			
Caramel Pain	J-POP	130			
Carmina	SYMPHONIC TRANCECORE	195			
CARNIVOROUS	GIRL'S EUROBEAT	170			
CARRY ON NIGHT (English version)	EUROBEAT	158			
Carry Me Away	FUTURE CORE	175			
Castle on the Moon	DANCE SPEED	191			
Catch Me	ACID JAZZ	115			
Catch Our Fire!	MARVELOUS CHEER	190			
Catch ya Getcha!	PSY KECAK STYLE	156			
Caterpillar	HARD TRAP	170			
CELEBRATE NITE	EURO GROOVE	144			
Central Station	FUTURE BASS	158			
Chain of pain	FULL ON	153			
Change the World	SPEED POP	286			
Change Yourself	TRANCE	155			
Changes	BALLAD	70			
chaos eater -IIDX edition-	HARD STEP	105–210 (코어 BPM: 210)			
CHAOTIC SUNBIRD	ULTRA SAM-BASS	163			
Chaotoxin	HELETIC BREAK D'n'B	180			
chaplet -IIDX re:build-	FUTURISTIC 12 BEAT	200			
CHARLOTTE	FRENCH BOSSA	150			
ChaserXX	CYBERNETICS PIANO HOUSE	140			
Chasing After YOU ~夢の欠片~ ft. 小林マナ	Y2K 2000 J-POP DANCE	150			
CHECKING YOU OUT	HIP HOP	108–216			
Cheer Train	BIG BEAT	120			
Chemical Colours	COLOUR TECHCORE	175			
Chemical Cookie	FUTURE BASS	180			
Chewingood!!!	CHIP RAVE	190			
Chocolate Dancing	TRIP-POP	90			
CHOCOLATE PHILOSOPHY	SWING WALTZ	220			
Chocolate Planet	HAPPY CHOCO CORE	185			
chrono diver -fragment-	HEALING DRUM'N'BASS	185			
CHRONO DIVER -NORNIR-	CYBER DRUM & BASS	185			CHORD 조심
Chrono Diver -PENDULUMs-	CHRONO BREAKS	196			
Chronos	PROGRESSIVE	128			
Chronoxia	WONDER QUEST	180			
cinder	MAELSTROM	216			
City Never Sleeps (IIDX Edition)	DRUM&BASS	178			
Claiomh Solais	ILUZIO	165			
Cleopatrysm	PHARAO BEAM STEP	190			
Click Again	CLICK HOUSE	137			
Clione	DUTCH TRANCE	148			
Close my Eyes for Me	AMERICA	132–145			
Close the World feat.a☆ru	J-CORE	188			
CLOUDY MUSIC	DRUM'N'BASS	190			
CODE -CRiMSON-	NRG SCHRANZ	167			
CODE:Ø	BIG BEAT	125			
CODE:1 [revision1.0.1]	TECHNO	145			
CODE:2	HARD TECHNO	155			
Cold Moon	MOON CORE	202			
Cold Pulse	TECHNO	142			
COLOR BURST	COLOR DANCE POP	170			
Colorful Cookie	HAPPY HARDCORE	180			
Colors (radio edit)	TRANCE	150			
COLOSSEUM	LOST GROUND	140			
CoMAAAAAAA	UPLIFTING ETHNIC	150			
Comment te dire adieu	BOSSA LOUNGE	160			
CONCEPTUAL	HARD REVOLUTION	198			
Concertino in Blue	PROGRESSIVE	103–155			
concon	HARD ELECTRIC POP	190			
Confiserie	HARD ELECTRIC POP	185			
CONNECT-	EPIC TRANCE	150			
connective	LOUNGE POP	128			
Constellation	UPLIFTING TRANCE	140			
CONTRACT	SUBLIME TECHNO	180			
Cookie Bouquets	BREAK CORE	205			
Cosmic Cat	FUTURE BASS	151			
COSMIC CYBER	BIGCORE	170			
COSMIC RAY	BIGCORE	195			
COSMIC V3LOCITY	UCHIAGE CORE	200			
COSMIC☆WONDER☆REVOLUTION	COSMIC POP	152			
Cosy Catastrophe	DRUMSTEP	90–360			
Countdown to Heaven or Hell	TECH TRANCE	155			
COUNTING SHEEP ft. Kanae Asaba	SYMPHONIC DRUM'N'BASS	152			
Cradle	HEALIN' HARDCORE	160–188			
Cranberry City ft. Luschel	GARAGE	138			
Crank It	BASS HOUSE	160			
Crazy Jackpot	UK HARDCORE	170			
Crazy K.I.N.O.	MIXTURE	145			
crew	난이도별 상이	150/152/155			
Critical Crystal	DANCE SPEED	191			
Cross Fire	CROSSOVER	180			
CROSSROAD ~Left Story~	DRAMATIC EURO TRANCE	170			
CUE CUE RESCUE	EMERGENCY CORE	160			
Cult Invitation	00's TECHNO	164			
Cyber Force	CYBORG TRANCE	146			
Cyber True Color	DREAM COLLABORATION	150			
CyberConnect	HARD DANCE	150			
D	NEXT SKOOL BREAKBEATS HARDCORE	30–240			
D.A.N.C.E.!	J-POP	116			
D.C.fish	TECHNO	155			
D2R	HYPER ROCK BEAT	160			
Dahlia	HARD RENAISSANCE	185			
Daily Lunch Special	ラッキーハードコア	205			
Daisuke	EUROBEAT	157			
Damage Per Second	CYBER DRUMSTEP	177			
DANCER	NU SKOOL	145–149			
Dances with Snow Fairies	トレンディートランス	154			
Dancin' Into The Night	DISCO	140			
Dans la nuit de l'éternité	POLONAISE	244			
Danza Aestas	CONTEMPORARY SALSA	150			
Dark Fall	MASSIVE DANCE SPEED	202			
DARK LEGACY	DARK ELEMENT	196			
Darling my LUV	J-R&B	100			
dAuntl3ss	HARDER DANCE MUSIC	166			
DAWN -THE NEXT ENDEAVOUR-	DRUM & BASS	183			
Dawn Saga	CELTIC TRANCE STEP	185			
DAY DREAM	DARK PROGRESSIVE	80–300			
DAYDREAMER	GIRLY ROCK	195			
DAZZLE ATTACK	HAPPY HARDCORE TAKEOVER	175			
Dazzlin' Darlin	HANDZ UP	149			
Dazzlin' Darlin-秋葉工房mix-	EUROBEAT	149			
DEADHEAT	HARDCORE	200			
DEATH†ZIGOQ 〜怒りの高速爆走野郎〜	世紀末コア	200			NOTES 조심
Debtty Daddy	ETHNO HARDCORE	155			
Deceive Your Insight	PIECED ROCK	190			
deep in you	DANCE POP	126			
Deep Sea Mystery	NEO 90's AMBIENT JUNGLE	172			
Demon March	CINEMATIC BREAKCORE	174			
DENJIN AKATSUKINI TAORERU -SF PureAnalogSynth Mix-	PSYCHE TRANCE	165			
Derelict Star feat. Ryu*	HARD DANCE	150			
DESIRE	UK HARDCORE	184			
desolation	PIANO BALLADE	72			
Despair of ELFERIA	HARD IRISH SYMPHONIC	205			CHORD 조심
destination	TRANCECORE	175			
DESTINY	HYPER EUROBEAT	155			
Destiny lovers	J-POP	170			
Destiny Sword	ELECTRIC STEP	155			
Devil's Gear	MAINSTREAM HARDCORE	180			
Devilz Sacrifice -贖罪の羊-	SYMPHONIC BREAK BEATS	175			
Devilz Staircase	SYMPHONIC BREAK BEATS	185			
diagram	GLITCH HOP	112			
DIAMOND CROSSING	HARD ELECTRIC POP	180			CHARGE 조심
DIAMOND JACKAL	ENIGMATIC BASS HARDCORE	115–230			
DIAVOLO	TRANSCENDENTAL ETUDES	160			
dica dica	ACID RAVE	175			
Digital MinD (A/T Libra mix)	MINIMAL	155			
Digital Radiance	COLOUR TECH	166			
Digital Skipper	HYBRID	150			
Digitank System	TECH-BREAKBEATS	128			
DISAPPEAR feat.koyomin	EMOTIONAL HI-TECH	145			
Discloze	Hi-TECH PSYTRANCE	128–145			
Disco Killer Music Lover	HARDCORE RAVE	175			
dissolve	TRANCE	140			
DISPARATE	CYBERPUNK	200			
Distress	MIXTURE	125			
DIVE ~INTO YOUR HEART~	HYPER TRANCE EURO BEAT	155			
Divine Heaven	BIG ANTHEM	150			
DIVINE JUDGEMENT	SYMPHONIC BREAK BEATS	190			
diving money	DRUM'N BASS DRUMN BASS	150			
DM STAR ~関西 energy style~	SPEED RAVE	166			
Do Back Burn	ELECTRO	136			
Do it!! Do it!!	N-BEATS	300			
do the thing feat. Kanae Asaba	EDM	135			
Do What You Want	FUTURE BASS	160			
DO-IT-AMA-SITE!!!	YOU'RE WELCOME DANCE	135			
DoLL	HYPER J-POP FOUR	170			
DOMINION	HARDCORE	196			
Don't be afraid myself	J-POP	165			
Don't believe the hype	MIXTURE	210			
Don't let it go	J-POP REMIX	160			
Don't Stop The Music feat.森高千里	J-POP	110.0			
Don't Stop The Music feat. Kanae Asaba	ELECTRO FUNK	110.0			
Don't Stop!	HAPPY HANDBAG	130			
Donkey Donk	DONK	155			
DORNWALD 〜Junge〜	ARCHAIC TALE EP1	169			
Double Dribble	FUNKY GABBER	210			
Double♡♡Loving Heart	J-POP	138			
double thrash	BATTLE2005	166			
Dr. Chemical & Killing Machine	INDUSTRIAL TECHNO	165			
Dr.LOVE	DANCE POP	123			
Drastic Dramatic	8BARS	166			
DREAM OF SPACE UFO ABDUCTION	ABDUCTION BEAT	140			
Dreamin Train	J-CORE EXPRESS	158			
Dreamin' Sun	ELECTRO POP	152			
Dreaming Dream	DANCE POP	140			
Dreaming Sweetness	SCOUSE HOUSE	140			
Dreamship	ELECTRO POP	140			
Drive Me Crazy	AKIBA RAVE	180			
Driver	BIGROOM D&B	174			
DROP	WHITE SEQUENCE	152			
Drop It	DUBSTEP/MMETAL/DJENT	155			
Drop on the floor	HOUSE	130			
Drop Syndicate	MOOMBAHCORE / DRUM'N BASS	180			
DropZ-Line-	PUMPCORE	50–400			
dual control	GARAGE HOUSE	131–140			
DUAL STRIKER	IIDX SOUNDS	185			
DUE TOMORROW	TECHNO	100–400			
Duration	DRUM & BASS	180			
DXY!	TECHNO	148			
Dynamite	HYBRID TWERK	100			
DYNAMITE RAVE	SPEED RAVE	150			
Dynasty	SYMPHONIC HARDWALTZ	189			
E.V CAFE	SOUL	125			
earth scape	PIANO BALLAD	45–94			
earth-like planet	ACID JAZZ	150			
EBONY & IVORY	RAGTIME CHIPTUNE	170			NOTES 조심
ECHIDNA	HYBRID BUCHIAGE TRANCE	146			CHARGE 조심
Echo Of Forever	HOUSE	135			
ECHOES	TECHNO	140			
Echoes of Sunfall	ETHNIC HARDSOUND	160			
